package_name,arch,package_id,cves,errata_id,severity,errata_type,satellite_repo,source_repo
libxml2-devel-2.9.7-15.el8_7.1,i686,112449,,RHSA-2023:0173,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
libxml2-devel-2.9.7-15.el8_7.1,x86_64,112447,,RHSA-2023:0173,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
python3-libxml2-2.9.7-15.el8_7.1,x86_64,109174,,RHSA-2023:0173,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
libtiff-4.0.9-26.el8_7,i686,112509,"CVE-2022-2056, CVE-2022-2057, CVE-2022-2058, CVE-2022-2519, CVE-2022-2520, CVE-2022-2521, CVE-2022-2867, CVE-2022-2868, CVE-2022-2869, CVE-2022-2953",RHSA-2023:0095,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
libtiff-4.0.9-26.el8_7,x86_64,112506,"CVE-2022-2056, CVE-2022-2057, CVE-2022-2058, CVE-2022-2519, CVE-2022-2520, CVE-2022-2521, CVE-2022-2867, CVE-2022-2868, CVE-2022-2869, CVE-2022-2953",RHSA-2023:0095,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
libtiff-devel-4.0.9-26.el8_7,i686,112513,,RHSA-2023:0095,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
libtiff-devel-4.0.9-26.el8_7,x86_64,112511,,RHSA-2023:0095,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
expat-2.2.5-10.el8_7.1,i686,109406,CVE-2022-43680,RHSA-2023:0103,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
expat-2.2.5-10.el8_7.1,x86_64,109404,CVE-2022-43680,RHSA-2023:0103,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
expat-devel-2.2.5-10.el8_7.1,i686,109410,,RHSA-2023:0103,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
