package_name,package_id,errata_id
libuuid-2.32.1-39.el8_7,109190,RHBA-2023:0105
libuuid-2.32.1-39.el8_7,109188,RHBA-2023:0105
libuuid-devel-2.32.1-39.el8_7,109194,RHBA-2023:0105
libuuid-devel-2.32.1-39.el8_7,109192,RHBA-2023:0105
python3-libmount-2.32.1-39.el8_7,112359,RHBA-2023:0105
util-linux-2.32.1-39.el8_7,109108,RHBA-2023:0105
util-linux-user-2.32.1-39.el8_7,109109,RHBA-2023:0105
uuidd-2.32.1-39.el8_7,109107,RHBA-2023:0105
net-snmp-5.8-25.el8_7.1,112435,RHBA-2023:0085
net-snmp-agent-libs-5.8-25.el8_7.1,112445,RHBA-2023:0085
net-snmp-agent-libs-5.8-25.el8_7.1,112443,RHBA-2023:0085
net-snmp-devel-5.8-25.el8_7.1,112441,RHBA-2023:0085
net-snmp-devel-5.8-25.el8_7.1,112439,RHBA-2023:0085
net-snmp-libs-5.8-25.el8_7.1,109185,RHBA-2023:0085
net-snmp-libs-5.8-25.el8_7.1,109184,RHBA-2023:0085
net-snmp-perl-5.8-25.el8_7.1,113245,RHBA-2023:0085
net-snmp-utils-5.8-25.el8_7.1,112437,RHBA-2023:0085
